id_column,column,rule,code
cierre_cuatrimestre_3,cierre del cuatrimestre 3,Mes cierre de cuatrimestre 3,((df['fecha'].dt.month == 12) & (df['fecha'].dt.month.apply(lambda x: (x-1)//4 + 1) == 3)).astype(int)
inicio_semestre_1,inicio del semestre 1,Mes inicio de semestre 1,((df['fecha'].dt.month == 1) & (df['fecha'].dt.month.apply(lambda x: (x-1)//6 + 1) == 1)).astype(int)
cierre_semestre_1,cierre del semestre 1,Mes cierre de semestre 1,((df['fecha'].dt.month == 6) & (df['fecha'].dt.month.apply(lambda x: (x-1)//6 + 1) == 1)).astype(int)
inicio_semestre_2,inicio del semestre 2,Mes inicio de semestre 2,((df['fecha'].dt.month == 7) & (df['fecha'].dt.month.apply(lambda x: (x-1)//6 + 1) == 2)).astype(int)
cierre_semestre_2,cierre del semestre 2,Mes cierre de semestre 2,((df['fecha'].dt.month == 12) & (df['fecha'].dt.month.apply(lambda x: (x-1)//6 + 1) == 2)).astype(int)
inicio_anual,inicio del anual,Mes de enero general,(df['fecha'].dt.month == 1).astype(int)
cierre_anual,cierre del anual,Mes de diciembre general,(df['fecha'].dt.month == 12).astype(int)
dia_festivo,día festivo,Dependencia usuario,"events_dict.get('día festivo', 0)"
es_habil,es_habil,Día laborable sin festivos,((df['fin de semana'] == 0) & (df['día festivo'] == 0)).astype(int)
dia_pago_impuestos,día de pago de impuestos,Día 17 o hábil siguiente,"forward_leap_to_habil(df, df['dia'] == 17)"
dia_cobro_quincena,día de cobro de quincena,Día 15 y fin de mes o hábil previo,"backward_leap_to_habil(df, (df['dia'] == 15) | (df['fecha'] == df.groupby(['año', 'mes'])['fecha'].transform('max')))"
primer_dia_habil_impar,primer día hábil de mes impar,Algoritmo min date impar,"compute_first_last_working(df, 'primer', 'impar')"
ultimo_dia_habil_impar,último día hábil de mes impar,Algoritmo max date impar,"compute_first_last_working(df, 'ultimo', 'impar')"
primer_dia_habil_par,primer día hábil de mes par,Algoritmo min date par,"compute_first_last_working(df, 'primer', 'par')"
ultimo_dia_habil_par,último día hábil de mes par,Algoritmo max date par,"compute_first_last_working(df, 'ultimo', 'par')"
1_dias_antes_dia_de_pago_de_impuestos,1 días antes de día de pago de impuestos,1 dias atras en dias habiles,"compute_working_offset_backward(df, 'día de pago de impuestos', 1)"
1_dias_despues_dia_de_pago_de_impuestos,1 días después de día de pago de impuestos,1 dias adelante en dias habiles,"compute_working_offset_forward(df, 'día de pago de impuestos', 1)"
2_dias_antes_dia_de_pago_de_impuestos,2 días antes de día de pago de impuestos,2 dias atras en dias habiles,"compute_working_offset_backward(df, 'día de pago de impuestos', 2)"
2_dias_despues_dia_de_pago_de_impuestos,2 días después de día de pago de impuestos,2 dias adelante en dias habiles,"compute_working_offset_forward(df, 'día de pago de impuestos', 2)"
3_dias_antes_dia_de_pago_de_impuestos,3 días antes de día de pago de impuestos,3 dias atras en dias habiles,"compute_working_offset_backward(df, 'día de pago de impuestos', 3)"
3_dias_despues_dia_de_pago_de_impuestos,3 días después de día de pago de impuestos,3 dias adelante en dias habiles,"compute_working_offset_forward(df, 'día de pago de impuestos', 3)"
4_dias_antes_dia_de_pago_de_impuestos,4 días antes de día de pago de impuestos,4 dias atras en dias habiles,"compute_working_offset_backward(df, 'día de pago de impuestos', 4)"
4_dias_despues_dia_de_pago_de_impuestos,4 días después de día de pago de impuestos,4 dias adelante en dias habiles,"compute_working_offset_forward(df, 'día de pago de impuestos', 4)"
5_dias_antes_dia_de_pago_de_impuestos,5 días antes de día de pago de impuestos,5 dias atras en dias habiles,"compute_working_offset_backward(df, 'día de pago de impuestos', 5)"
5_dias_despues_dia_de_pago_de_impuestos,5 días después de día de pago de impuestos,5 dias adelante en dias habiles,"compute_working_offset_forward(df, 'día de pago de impuestos', 5)"
6_dias_antes_dia_de_pago_de_impuestos,6 días antes de día de pago de impuestos,6 dias atras en dias habiles,"compute_working_offset_backward(df, 'día de pago de impuestos', 6)"
6_dias_despues_dia_de_pago_de_impuestos,6 días después de día de pago de impuestos,6 dias adelante en dias habiles,"compute_working_offset_forward(df, 'día de pago de impuestos', 6)"
7_dias_antes_dia_de_pago_de_impuestos,7 días antes de día de pago de impuestos,7 dias atras en dias habiles,"compute_working_offset_backward(df, 'día de pago de impuestos', 7)"
7_dias_despues_dia_de_pago_de_impuestos,7 días después de día de pago de impuestos,7 dias adelante en dias habiles,"compute_working_offset_forward(df, 'día de pago de impuestos', 7)"
8_dias_antes_dia_de_pago_de_impuestos,8 días antes de día de pago de impuestos,8 dias atras en dias habiles,"compute_working_offset_backward(df, 'día de pago de impuestos', 8)"
8_dias_despues_dia_de_pago_de_impuestos,8 días después de día de pago de impuestos,8 dias adelante en dias habiles,"compute_working_offset_forward(df, 'día de pago de impuestos', 8)"
9_dias_antes_dia_de_pago_de_impuestos,9 días antes de día de pago de impuestos,9 dias atras en dias habiles,"compute_working_offset_backward(df, 'día de pago de impuestos', 9)"
9_dias_despues_dia_de_pago_de_impuestos,9 días después de día de pago de impuestos,9 dias adelante en dias habiles,"compute_working_offset_forward(df, 'día de pago de impuestos', 9)"
10_dias_antes_dia_de_pago_de_impuestos,10 días antes de día de pago de impuestos,10 dias atras en dias habiles,"compute_working_offset_backward(df, 'día de pago de impuestos', 10)"
10_dias_despues_dia_de_pago_de_impuestos,10 días después de día de pago de impuestos,10 dias adelante en dias habiles,"compute_working_offset_forward(df, 'día de pago de impuestos', 10)"
1_dias_antes_dia_de_cobro_de_quincena,1 días antes de día de cobro de quincena,1 dias atras en dias habiles,"compute_working_offset_backward(df, 'día de cobro de quincena', 1)"
1_dias_despues_dia_de_cobro_de_quincena,1 días después de día de cobro de quincena,1 dias adelante en dias habiles,"compute_working_offset_forward(df, 'día de cobro de quincena', 1)"
2_dias_antes_dia_de_cobro_de_quincena,2 días antes de día de cobro de quincena,2 dias atras en dias habiles,"compute_working_offset_backward(df, 'día de cobro de quincena', 2)"
2_dias_despues_dia_de_cobro_de_quincena,2 días después de día de cobro de quincena,2 dias adelante en dias habiles,"compute_working_offset_forward(df, 'día de cobro de quincena', 2)"
3_dias_antes_dia_de_cobro_de_quincena,3 días antes de día de cobro de quincena,3 dias atras en dias habiles,"compute_working_offset_backward(df, 'día de cobro de quincena', 3)"
3_dias_despues_dia_de_cobro_de_quincena,3 días después de día de cobro de quincena,3 dias adelante en dias habiles,"compute_working_offset_forward(df, 'día de cobro de quincena', 3)"
4_dias_antes_dia_de_cobro_de_quincena,4 días antes de día de cobro de quincena,4 dias atras en dias habiles,"compute_working_offset_backward(df, 'día de cobro de quincena', 4)"
4_dias_despues_dia_de_cobro_de_quincena,4 días después de día de cobro de quincena,4 dias adelante en dias habiles,"compute_working_offset_forward(df, 'día de cobro de quincena', 4)"
5_dias_antes_dia_de_cobro_de_quincena,5 días antes de día de cobro de quincena,5 dias atras en dias habiles,"compute_working_offset_backward(df, 'día de cobro de quincena', 5)"
5_dias_despues_dia_de_cobro_de_quincena,5 días después de día de cobro de quincena,5 dias adelante en dias habiles,"compute_working_offset_forward(df, 'día de cobro de quincena', 5)"
6_dias_antes_dia_de_cobro_de_quincena,6 días antes de día de cobro de quincena,6 dias atras en dias habiles,"compute_working_offset_backward(df, 'día de cobro de quincena', 6)"
6_dias_despues_dia_de_cobro_de_quincena,6 días después de día de cobro de quincena,6 dias adelante en dias habiles,"compute_working_offset_forward(df, 'día de cobro de quincena', 6)"
7_dias_antes_dia_de_cobro_de_quincena,7 días antes de día de cobro de quincena,7 dias atras en dias habiles,"compute_working_offset_backward(df, 'día de cobro de quincena', 7)"
7_dias_despues_dia_de_cobro_de_quincena,7 días después de día de cobro de quincena,7 dias adelante en dias habiles,"compute_working_offset_forward(df, 'día de cobro de quincena', 7)"
8_dias_antes_dia_de_cobro_de_quincena,8 días antes de día de cobro de quincena,8 dias atras en dias habiles,"compute_working_offset_backward(df, 'día de cobro de quincena', 8)"
8_dias_despues_dia_de_cobro_de_quincena,8 días después de día de cobro de quincena,8 dias adelante en dias habiles,"compute_working_offset_forward(df, 'día de cobro de quincena', 8)"
9_dias_antes_dia_de_cobro_de_quincena,9 días antes de día de cobro de quincena,9 dias atras en dias habiles,"compute_working_offset_backward(df, 'día de cobro de quincena', 9)"
9_dias_despues_dia_de_cobro_de_quincena,9 días después de día de cobro de quincena,9 dias adelante en dias habiles,"compute_working_offset_forward(df, 'día de cobro de quincena', 9)"
10_dias_antes_dia_de_cobro_de_quincena,10 días antes de día de cobro de quincena,10 dias atras en dias habiles,"compute_working_offset_backward(df, 'día de cobro de quincena', 10)"
10_dias_despues_dia_de_cobro_de_quincena,10 días después de día de cobro de quincena,10 dias adelante en dias habiles,"compute_working_offset_forward(df, 'día de cobro de quincena', 10)"
1_dias_antes_dia_festivo,1 días antes de día festivo,1 dias atras en dias habiles,"compute_working_offset_backward(df, 'día festivo', 1)"
1_dias_despues_dia_festivo,1 días después de día festivo,1 dias adelante en dias habiles,"compute_working_offset_forward(df, 'día festivo', 1)"
2_dias_antes_dia_festivo,2 días antes de día festivo,2 dias atras en dias habiles,"compute_working_offset_backward(df, 'día festivo', 2)"
2_dias_despues_dia_festivo,2 días después de día festivo,2 dias adelante en dias habiles,"compute_working_offset_forward(df, 'día festivo', 2)"
3_dias_antes_dia_festivo,3 días antes de día festivo,3 dias atras en dias habiles,"compute_working_offset_backward(df, 'día festivo', 3)"
3_dias_despues_dia_festivo,3 días después de día festivo,3 dias adelante en dias habiles,"compute_working_offset_forward(df, 'día festivo', 3)"
4_dias_antes_dia_festivo,4 días antes de día festivo,4 dias atras en dias habiles,"compute_working_offset_backward(df, 'día festivo', 4)"
4_dias_despues_dia_festivo,4 días después de día festivo,4 dias adelante en dias habiles,"compute_working_offset_forward(df, 'día festivo', 4)"
5_dias_antes_dia_festivo,5 días antes de día festivo,5 dias atras en dias habiles,"compute_working_offset_backward(df, 'día festivo', 5)"
5_dias_despues_dia_festivo,5 días después de día festivo,5 dias adelante en dias habiles,"compute_working_offset_forward(df, 'día festivo', 5)"
6_dias_antes_dia_festivo,6 días antes de día festivo,6 dias atras en dias habiles,"compute_working_offset_backward(df, 'día festivo', 6)"
6_dias_despues_dia_festivo,6 días después de día festivo,6 dias adelante en dias habiles,"compute_working_offset_forward(df, 'día festivo', 6)"
7_dias_antes_dia_festivo,7 días antes de día festivo,7 dias atras en dias habiles,"compute_working_offset_backward(df, 'día festivo', 7)"
7_dias_despues_dia_festivo,7 días después de día festivo,7 dias adelante en dias habiles,"compute_working_offset_forward(df, 'día festivo', 7)"
8_dias_antes_dia_festivo,8 días antes de día festivo,8 dias atras en dias habiles,"compute_working_offset_backward(df, 'día festivo', 8)"
8_dias_despues_dia_festivo,8 días después de día festivo,8 dias adelante en dias habiles,"compute_working_offset_forward(df, 'día festivo', 8)"
9_dias_antes_dia_festivo,9 días antes de día festivo,9 dias atras en dias habiles,"compute_working_offset_backward(df, 'día festivo', 9)"
9_dias_despues_dia_festivo,9 días después de día festivo,9 dias adelante en dias habiles,"compute_working_offset_forward(df, 'día festivo', 9)"
10_dias_antes_dia_festivo,10 días antes de día festivo,10 dias atras en dias habiles,"compute_working_offset_backward(df, 'día festivo', 10)"
10_dias_despues_dia_festivo,10 días después de día festivo,10 dias adelante en dias habiles,"compute_working_offset_forward(df, 'día festivo', 10)"
1_dias_antes_primer_dia_hábil_de_mes_impar,1 días antes de primer día hábil de mes impar,1 dias atras en dias habiles,"compute_working_offset_backward(df, 'primer día hábil de mes impar', 1)"
1_dias_despues_primer_dia_hábil_de_mes_impar,1 días después de primer día hábil de mes impar,1 dias adelante en dias habiles,"compute_working_offset_forward(df, 'primer día hábil de mes impar', 1)"
2_dias_antes_primer_dia_hábil_de_mes_impar,2 días antes de primer día hábil de mes impar,2 dias atras en dias habiles,"compute_working_offset_backward(df, 'primer día hábil de mes impar', 2)"
2_dias_despues_primer_dia_hábil_de_mes_impar,2 días después de primer día hábil de mes impar,2 dias adelante en dias habiles,"compute_working_offset_forward(df, 'primer día hábil de mes impar', 2)"
3_dias_antes_primer_dia_hábil_de_mes_impar,3 días antes de primer día hábil de mes impar,3 dias atras en dias habiles,"compute_working_offset_backward(df, 'primer día hábil de mes impar', 3)"
3_dias_despues_primer_dia_hábil_de_mes_impar,3 días después de primer día hábil de mes impar,3 dias adelante en dias habiles,"compute_working_offset_forward(df, 'primer día hábil de mes impar', 3)"
4_dias_antes_primer_dia_hábil_de_mes_impar,4 días antes de primer día hábil de mes impar,4 dias atras en dias habiles,"compute_working_offset_backward(df, 'primer día hábil de mes impar', 4)"
4_dias_despues_primer_dia_hábil_de_mes_impar,4 días después de primer día hábil de mes impar,4 dias adelante en dias habiles,"compute_working_offset_forward(df, 'primer día hábil de mes impar', 4)"
5_dias_antes_primer_dia_hábil_de_mes_impar,5 días antes de primer día hábil de mes impar,5 dias atras en dias habiles,"compute_working_offset_backward(df, 'primer día hábil de mes impar', 5)"
5_dias_despues_primer_dia_hábil_de_mes_impar,5 días después de primer día hábil de mes impar,5 dias adelante en dias habiles,"compute_working_offset_forward(df, 'primer día hábil de mes impar', 5)"
6_dias_antes_primer_dia_hábil_de_mes_impar,6 días antes de primer día hábil de mes impar,6 dias atras en dias habiles,"compute_working_offset_backward(df, 'primer día hábil de mes impar', 6)"
6_dias_despues_primer_dia_hábil_de_mes_impar,6 días después de primer día hábil de mes impar,6 dias adelante en dias habiles,"compute_working_offset_forward(df, 'primer día hábil de mes impar', 6)"
7_dias_antes_primer_dia_hábil_de_mes_impar,7 días antes de primer día hábil de mes impar,7 dias atras en dias habiles,"compute_working_offset_backward(df, 'primer día hábil de mes impar', 7)"
7_dias_despues_primer_dia_hábil_de_mes_impar,7 días después de primer día hábil de mes impar,7 dias adelante en dias habiles,"compute_working_offset_forward(df, 'primer día hábil de mes impar', 7)"
8_dias_antes_primer_dia_hábil_de_mes_impar,8 días antes de primer día hábil de mes impar,8 dias atras en dias habiles,"compute_working_offset_backward(df, 'primer día hábil de mes impar', 8)"
8_dias_despues_primer_dia_hábil_de_mes_impar,8 días después de primer día hábil de mes impar,8 dias adelante en dias habiles,"compute_working_offset_forward(df, 'primer día hábil de mes impar', 8)"
9_dias_antes_primer_dia_hábil_de_mes_impar,9 días antes de primer día hábil de mes impar,9 dias atras en dias habiles,"compute_working_offset_backward(df, 'primer día hábil de mes impar', 9)"
9_dias_despues_primer_dia_hábil_de_mes_impar,9 días después de primer día hábil de mes impar,9 dias adelante en dias habiles,"compute_working_offset_forward(df, 'primer día hábil de mes impar', 9)"
10_dias_antes_primer_dia_hábil_de_mes_impar,10 días antes de primer día hábil de mes impar,10 dias atras en dias habiles,"compute_working_offset_backward(df, 'primer día hábil de mes impar', 10)"
10_dias_despues_primer_dia_hábil_de_mes_impar,10 días después de primer día hábil de mes impar,10 dias adelante en dias habiles,"compute_working_offset_forward(df, 'primer día hábil de mes impar', 10)"
1_dias_antes_último_dia_hábil_de_mes_impar,1 días antes de último día hábil de mes impar,1 dias atras en dias habiles,"compute_working_offset_backward(df, 'último día hábil de mes impar', 1)"
1_dias_despues_último_dia_hábil_de_mes_impar,1 días después de último día hábil de mes impar,1 dias adelante en dias habiles,"compute_working_offset_forward(df, 'último día hábil de mes impar', 1)"
2_dias_antes_último_dia_hábil_de_mes_impar,2 días antes de último día hábil de mes impar,2 dias atras en dias habiles,"compute_working_offset_backward(df, 'último día hábil de mes impar', 2)"
2_dias_despues_último_dia_hábil_de_mes_impar,2 días después de último día hábil de mes impar,2 dias adelante en dias habiles,"compute_working_offset_forward(df, 'último día hábil de mes impar', 2)"
